concept,action_dim,corr_gt,count,corr_pred,diff
action:put,x,-0.03593216397802533,229,-0.03248732077588182,0.0034448432021435132
action:put,y,-0.02102955355299973,229,0.0727029789481499,0.09373253250114963
action:put,z,-0.06120196359871345,229,0.10872669410338981,0.16992865770210325
action:put,roll,-0.029161112476419896,229,0.16385340038376955,0.19301451286018945
action:put,pitch,0.0932139660120743,229,0.2038046969680336,0.11059073095595931
action:put,yaw,-0.02462337031275989,229,0.1901887941760952,0.21481216448885507
action:put,gripper,0.08800348854671855,229,0.15896887388458295,0.0709653853378644
verb:put,x,-0.034137368427708384,228,-0.031040701029218406,0.003096667398489978
verb:put,y,-0.021454899630546972,228,0.07067101335154438,0.09212591298209136
verb:put,z,-0.06604466184125134,228,0.10778865106317048,0.17383331290442183
verb:put,roll,-0.02733235848755215,228,0.1621955838407957,0.18952794232834783
verb:put,pitch,0.09653212416111398,228,0.20153424544587906,0.10500212128476508
verb:put,yaw,-0.02455305338881885,228,0.18723769275118748,0.21179074614000634
verb:put,gripper,0.08759729287296991,228,0.16037173453393205,0.07277444166096214
action:move,x,0.017580316201498854,193,-0.0019128821386586526,0.019493198340157506
action:move,y,0.03452537309094463,193,0.16199405731962752,0.12746868422868288
action:move,z,0.004657283335813715,193,0.12102267180718489,0.11636538847137118
action:move,roll,0.04314823929712403,193,0.241783743006003,0.19863550370887897
action:move,pitch,0.09698273962694473,193,0.31632483713653203,0.2193420975095873
action:move,yaw,-0.00230537799857403,193,0.2961278349924891,0.2984332129910632
action:move,gripper,0.10487176266979675,193,0.27812336023848927,0.17325159756869252
verb:move,x,0.013842693323915557,186,0.0052602119008544205,0.008582481423061138
verb:move,y,0.03228189589956592,186,0.16533361651107084,0.13305172061150491
verb:move,z,0.008395575688172341,186,0.12108187635881909,0.11268630067064675
verb:move,roll,0.04048602788068007,186,0.23080184718204808,0.190315819301368
verb:move,pitch,0.09531303646984471,186,0.30648457878095464,0.21117154231110993
verb:move,yaw,-0.005073528847355828,186,0.28110822025030163,0.2861817490976575
verb:move,gripper,0.10227709388282827,186,0.2515859170228809,0.14930882314005264
obj:cloth,x,-0.03609780630406293,154,-0.03063100028413222,0.005466806019930711
obj:cloth,y,0.051437115611491654,154,0.12640944793885167,0.07497233232736002
obj:cloth,z,-0.11972994317510456,154,0.06686628374338074,0.18659622691848532
obj:cloth,roll,0.03050891067344246,154,0.16051625691511642,0.13000734624167395
obj:cloth,pitch,0.05964732307985587,154,0.1734051229818751,0.11375779990201923
obj:cloth,yaw,0.008043081135882976,154,0.17011889205633732,0.16207581092045434
obj:cloth,gripper,0.08691076503400404,154,0.12379068647019031,0.03687992143618628
obj:pot,x,0.008642775397904666,152,-0.06508930555999787,0.07373208095790254
obj:pot,y,0.03718577250376035,152,0.11657980026084132,0.07939402775708096
obj:pot,z,0.03353827801969348,152,0.10857377418772442,0.07503549616803093
obj:pot,roll,0.008559411943822553,152,0.1567071784922496,0.14814776654842704
obj:pot,pitch,0.06291174643177858,152,0.173764999218215,0.11085325278643643
obj:pot,yaw,-0.021400668643882598,152,0.1690435905498807,0.1904442591937633
obj:pot,gripper,0.09158207583478765,152,0.08488499647010388,0.006697079364683778
spatial:right,x,-0.007106628125788164,151,-0.04359866173495439,0.03649203360916623
spatial:right,y,0.07759218158552253,151,0.14433508924324145,0.06674290765771893
spatial:right,z,-0.03024807373029998,151,0.0931597707851186,0.12340784451541859
spatial:right,roll,0.032177132202828196,151,0.20668092626608325,0.17450379406325506
spatial:right,pitch,0.032821577038010995,151,0.2329081470224358,0.2000865699844248
spatial:right,yaw,0.02109050114803839,151,0.24795756225691282,0.22686706110887442
spatial:right,gripper,0.08455642661972775,151,0.19997902690972255,0.1154226002899948
spatial:on,x,-0.0008228800916845876,150,-0.014062837098349762,0.013239957006665175
spatial:on,y,-0.005714362607239606,150,0.08999410801135178,0.09570847061859139
spatial:on,z,-0.04617673958959674,150,0.12888341153490881,0.17506015112450557
spatial:on,roll,-0.03188372532998148,150,0.21064989174718204,0.24253361707716353
spatial:on,pitch,0.04747710549076984,150,0.24742296755107404,0.1999458620603042
spatial:on,yaw,-0.017605363054999386,150,0.2567118565168314,0.2743172195718308
spatial:on,gripper,0.0682101110178219,150,0.251792158252189,0.18358204723436708
spatial:left,x,-0.006266677268857592,146,-0.02011383208548499,0.013847154816627398
spatial:left,y,-0.024456106271305844,146,0.14714525779257434,0.17160136406388019
spatial:left,z,-0.05947441103084706,146,0.12521273505710542,0.18468714608795248
spatial:left,roll,0.02188627803409929,146,0.22723553824160694,0.20534926020750766
spatial:left,pitch,-0.017401031701348282,146,0.24345296638679023,0.26085399808813853
spatial:left,yaw,-0.01715470682843856,146,0.2201530437689756,0.23730775059741416
spatial:left,gripper,0.09382074913685358,146,0.15939574599282386,0.06557499685597028
spatial:top,x,0.017300466168689233,117,-0.0046539126409333295,0.021954378809622564
spatial:top,y,-0.010500148949272514,117,0.15553206466106959,0.1660322136103421
spatial:top,z,-0.07105255212928427,117,0.11979496953251904,0.1908475216618033
spatial:top,roll,-0.04466943877866391,117,0.17710232600301473,0.22177176478167865
spatial:top,pitch,0.0014309525049759088,117,0.16994030661104326,0.16850935410606735
spatial:top,yaw,-0.001493471961696231,117,0.17732678376465202,0.17882025572634824
spatial:top,gripper,0.06765892948514372,117,0.12376542423864124,0.05610649475349752
spatial:in,x,0.022941193270799905,105,-0.0164189512760346,0.03936014454683451
spatial:in,y,-0.011115933429551748,105,0.00978237979074566,0.020898313220297407
spatial:in,z,0.02401700659463132,105,0.0388961364076184,0.014879129812987082
spatial:in,roll,0.009615840180719409,105,0.09421174396515349,0.08459590378443407
spatial:in,pitch,0.03907763361232015,105,0.1159861204259818,0.07690848681366165
spatial:in,yaw,-0.019402557280763722,105,0.11191716924930795,0.13131972653007168
spatial:in,gripper,0.07786200953087936,105,0.074211182794895,0.0036508267359843666
spatial:bottom,x,0.04427673119626057,93,-0.023156114316395558,0.06743284551265613
spatial:bottom,y,0.022416513526200613,93,0.17694425870800073,0.15452774518180012
spatial:bottom,z,-0.056126120157838515,93,0.1037643089663016,0.15989042912414012
spatial:bottom,roll,0.0180348508589905,93,0.19322784575878788,0.17519299489979737
spatial:bottom,pitch,-0.027329658758265808,93,0.18815043237026646,0.21548009112853228
spatial:bottom,yaw,0.0072996142457433365,93,0.20619307106530602,0.1988934568195627
spatial:bottom,gripper,0.0644421945475786,93,0.13355851257837822,0.06911631803079962
obj:table,x,0.0065585698586201,90,-0.006072514842200458,0.012631084700820559
obj:table,y,0.008088743021265379,90,0.11763555525448154,0.10954681223321616
obj:table,z,0.005805051026688289,90,0.11888400741577243,0.11307895638908413
obj:table,roll,0.0558857200818147,90,0.19507401670977223,0.13918829662795754
obj:table,pitch,0.06266168958661314,90,0.2356925572633825,0.17303086767676937
obj:table,yaw,-0.01649101619379524,90,0.2612764632042503,0.2777674793980455
obj:table,gripper,0.0573364968656293,90,0.27391165009337004,0.21657515322774074
obj:right,x,-0.015450162808844505,77,-0.005633090418700278,0.009817072390144227
obj:right,y,0.07079011850779063,77,0.12762773089351806,0.05683761238572743
obj:right,z,-0.06746833301010492,77,0.07491519537231205,0.14238352838241697
obj:right,roll,-0.014574221929645668,77,0.14701742028996326,0.16159164221960892
obj:right,pitch,-0.008312618522618942,77,0.124920236085182,0.13323285460780093
obj:right,yaw,0.02222020398312303,77,0.13471262535039716,0.11249242136727414
obj:right,gripper,0.06565790003315732,77,0.07899571616766306,0.013337816134505742
obj:side,x,0.010598336479509408,76,0.044104651486827844,0.03350631500731843
obj:side,y,-0.03192513415875106,76,0.07643912207763603,0.1083642562363871
obj:side,z,0.026274569086850687,76,0.09377369426999076,0.06749912518314007
obj:side,roll,0.04572318589886777,76,0.15280185717485464,0.10707867127598687
obj:side,pitch,0.06393815897162854,76,0.2048319705295471,0.14089381155791858
obj:side,yaw,-0.013040310294924131,76,0.20202712547292742,0.21506743576785156
obj:side,gripper,0.049710342328061034,76,0.21590659224668904,0.166196249918628
attr:left,x,0.04696421700672021,70,0.031396027189192266,0.015568189817527944
attr:left,y,-0.04733695917505119,70,0.11197476801003241,0.1593117271850836
attr:left,z,-0.031381297191151736,70,0.10699780162080282,0.13837909881195454
attr:left,roll,-0.0022449296029066266,70,0.17198844734167218,0.1742333769445788
attr:left,pitch,-0.007838854955178349,70,0.19502882082521114,0.2028676757803895
attr:left,yaw,-0.03190607147320039,70,0.16934196533358065,0.20124803680678105
attr:left,gripper,0.062129582636946186,70,0.16585039833411064,0.10372081569716446
obj:top,x,-0.03382254273338759,70,0.013971597847825349,0.04779414058121294
obj:top,y,-0.003448566083553938,70,0.10867421803115278,0.11212278411470672
obj:top,z,-0.0479497537008253,70,0.08612920612484887,0.13407895982567417
obj:top,roll,-0.07124195813582793,70,0.13957394431578124,0.21081590245160917
obj:top,pitch,0.03167774704838396,70,0.12450221110193233,0.09282446405354836
obj:top,yaw,0.003038193648655289,70,0.12800230769095997,0.12496411404230467
obj:top,gripper,0.043358506779741735,70,0.0760326043680593,0.03267409758831756
obj:bottom,x,0.00899017288126286,65,-0.04442900442066509,0.053419177301927946
obj:bottom,y,0.017387861715499088,65,0.17349215600369464,0.15610429428819556
obj:bottom,z,-0.07024427997370741,65,0.09041146766823324,0.16065574764194065
obj:bottom,roll,0.007984658402943025,65,0.15314729222603446,0.14516263382309144
obj:bottom,pitch,-0.02424888521449922,65,0.1230614718665867,0.14731035708108592
obj:bottom,yaw,0.0013845231027085996,65,0.13019291501813454,0.12880839191542595
obj:bottom,gripper,0.050100515818696886,65,0.03692024828560495,0.013180267533091934
action:place,x,0.024116803959985472,65,0.008396337091761814,0.01572046686822366
action:place,y,-0.007484666472715214,65,0.0494496665283159,0.056934333001031116
action:place,z,-0.0538530508886093,65,0.05883731987595273,0.11269037076456204
action:place,roll,0.01609585755641841,65,0.11177433174765496,0.09567847419123654
action:place,pitch,0.011807575794312478,65,0.13116174375837075,0.11935416796405827
action:place,yaw,-0.004972687948138398,65,0.15604771832323608,0.16102040627137448
action:place,gripper,0.05501864388441816,65,0.16101471064398215,0.105996066759564
attr:right,x,0.01982942858986936,63,-0.038789563483199764,0.05861899207306913
attr:right,y,0.042658707632153924,63,0.0734774969075961,0.030818789275442175
attr:right,z,0.02730156999866175,63,0.05587264703145565,0.0285710770327939
attr:right,roll,0.04917370431657126,63,0.1322567509088497,0.08308304659227844
attr:right,pitch,0.04361164842881801,63,0.19020898826298888,0.14659733983417086
attr:right,yaw,0.008432515871688223,63,0.22489657618497014,0.21646406031328191
attr:right,gripper,0.04227373324218378,63,0.23002427341698953,0.18775054017480575
attr:blue,x,-0.007124715792697896,62,-0.030911067268806904,0.023786351476109007
attr:blue,y,0.007572933315269175,62,0.06877043351606765,0.06119750020079848
attr:blue,z,-0.05159815332271995,62,0.06519631397934297,0.11679446730206292
attr:blue,roll,-0.05288402914461771,62,0.12997895644237262,0.18286298558699032
attr:blue,pitch,0.030991006305038236,62,0.19555629044933834,0.1645652841443001
attr:blue,yaw,0.017496673795329237,62,0.22081283230591878,0.20331615851058954
attr:blue,gripper,0.04838829183455257,62,0.1705169860288486,0.12212869419429603
verb:place,x,0.033743656686953394,61,-0.0008344287663807467,0.03457808545333414
verb:place,y,-0.018276471380153543,61,0.0483829289917299,0.06665940037188345
verb:place,z,-0.048155916494352344,61,0.05281169566005892,0.10096761215441127
verb:place,roll,0.026552473777879993,61,0.11027553247678762,0.08372305869890763
verb:place,pitch,0.004872690770102652,61,0.12541775955238707,0.12054506878228442
verb:place,yaw,-0.014360891896573984,61,0.1554269098844107,0.1697878017809847
verb:place,gripper,0.052873487392973643,61,0.1526801981410813,0.09980671074810765
verb:leave,x,-0.024104148695720126,51,-0.03956766411585276,0.015463515420132634
verb:leave,y,0.05654498946556533,51,0.09021906675082988,0.03367407728526455
verb:leave,z,-0.04949120141865707,51,0.0358973048782561,0.08538850629691316
verb:leave,roll,0.024721142451634957,51,0.09264256427399332,0.06792142182235837
verb:leave,pitch,-0.035524331832655395,51,0.05980926225960299,0.09533359409225839
verb:leave,yaw,0.012594552421159585,51,0.06844189846895384,0.05584734604779425
verb:leave,gripper,0.05269803943620975,51,-0.020225428720243264,0.07292346815645301
spatial:into,x,-0.0384191112660217,51,0.02715802116695591,0.06557713243297761
spatial:into,y,0.007671082235484273,51,-0.003384625787244191,0.011055708022728464
spatial:into,z,-0.08392796487970398,51,-0.048305769542080844,0.03562219533762314
spatial:into,roll,0.005026598956819174,51,-0.028664980649450677,0.03369157960626985
spatial:into,pitch,0.06309524656949084,51,-0.03165563618402945,0.09475088275352028
spatial:into,yaw,-0.012988001862795284,51,-0.03637030026258971,0.023382298399794423
spatial:into,gripper,0.044674202072078874,51,-0.054741541562146445,0.09941574363422531
attr:yellow,x,-6.80654854759519e-05,50,-0.00030309372554992715,0.00023502824007397527
attr:yellow,y,-0.029929089984327865,50,0.04787960936015568,0.07780869934448355
attr:yellow,z,0.004387784255061655,50,0.0464681283886621,0.04208034413360044
attr:yellow,roll,-0.007069012643978321,50,0.099499898919363,0.10656891156334132
attr:yellow,pitch,0.02399845487239828,50,0.14735549429766318,0.1233570394252649
attr:yellow,yaw,0.006398967534232732,50,0.15937797873555395,0.15297901120132124
attr:yellow,gripper,0.04658828184139017,50,0.12197249854948311,0.07538421670809295
obj:burner,x,0.02235577926844569,49,0.011831702106417033,0.010524077162028656
obj:burner,y,-0.011864313594585313,49,0.07501650975657852,0.08688082335116383
obj:burner,z,0.03578613614964412,49,0.0693004581343977,0.03351432198475358
obj:burner,roll,-0.020734508431913243,49,0.13496663310241053,0.15570114153432377
obj:burner,pitch,-0.04369940118803968,49,0.1994381617270469,0.2431375629150866
obj:burner,yaw,-0.02196752445504295,49,0.22292698401173736,0.2448945084667803
obj:burner,gripper,0.05156577666786061,49,0.2551951210248446,0.203629344356984
verb:take,x,0.05312352141773868,48,-0.03691193158401698,0.09003545300175567
verb:take,y,0.017320019380713522,48,0.047970917056643615,0.030650897675930093
verb:take,z,0.07254368475429103,48,0.092132422913609,0.01958873815931797
verb:take,roll,-0.011118273563759232,48,0.11310180546278477,0.124220079026544
verb:take,pitch,-0.018667674019031123,48,0.13076698197960837,0.1494346559986395
verb:take,yaw,-0.012194499391469077,48,0.14973317005079148,0.16192766944226056
verb:take,gripper,0.051043990691395674,48,0.12901462474418704,0.07797063405279137
action:take,x,0.05312352141773868,48,-0.03691193158401698,0.09003545300175567
action:take,y,0.017320019380713522,48,0.047970917056643615,0.030650897675930093
action:take,z,0.07254368475429103,48,0.092132422913609,0.01958873815931797
action:take,roll,-0.011118273563759232,48,0.11310180546278477,0.124220079026544
action:take,pitch,-0.018667674019031123,48,0.13076698197960837,0.1494346559986395
action:take,yaw,-0.012194499391469077,48,0.14973317005079148,0.16192766944226056
action:take,gripper,0.051043990691395674,48,0.12901462474418704,0.07797063405279137
attr:top,x,0.07364528015316556,48,-0.018076510538869828,0.09172179069203538
attr:top,y,-0.008640063708090276,48,0.09715272847399092,0.1057927921820812
attr:top,z,-0.044914896541675686,48,0.06720056398688375,0.11211546052855943
attr:top,roll,0.022794006652178213,48,0.09386106152712202,0.0710670548749438
attr:top,pitch,-0.034772044086492225,48,0.10260229144452568,0.1373743355310179
attr:top,yaw,-0.007708690625100177,48,0.11042348244815678,0.11813217307325696
attr:top,gripper,0.051043990691395834,48,0.09307036558140873,0.042026374890012895
obj:sink,x,-0.013535983333399042,46,-0.025865187202703328,0.012329203869304285
obj:sink,y,-0.009155959408562455,46,0.03521287395563782,0.04436883336420027
obj:sink,z,-0.04154950185627472,46,0.038753592326682476,0.0803030941829572
obj:sink,roll,0.040089386632845045,46,0.048453177766706525,0.00836379113386148
obj:sink,pitch,0.049565339470044364,46,-0.0015207238871009841,0.05108606335714535
obj:sink,yaw,-0.021403165355764888,46,-0.030616351123244175,0.009213185767479287
obj:sink,gripper,0.0383413684882354,46,-0.021668706848192137,0.060010075336427535
